iter	Passed	Remaining
451	1103	1338
452	1111	1342
453	1117	1344
454	1119	1340
455	1120	1336
456	1126	1338
457	1154	1365
458	1157	1364
459	1159	1360
460	1160	1356
461	1173	1365
462	1174	1362
463	1175	1358
464	1176	1354
465	1181	1353
466	1182	1349
467	1183	1345
468	1185	1342
469	1186	1338
470	1187	1334
471	1193	1335
472	1195	1331
473	1196	1327
474	1197	1323
475	1198	1319
476	1201	1317
477	1203	1313
478	1205	1311
479	1207	1308
480	1209	1304
481	1210	1300
482	1219	1305
483	1221	1302
484	1222	1298
485	1224	1294
486	1225	1290
487	1226	1287
488	1239	1295
489	1240	1291
490	1242	1287
491	1243	1283
492	1248	1283
493	1249	1280
494	1250	1276
495	1252	1272
496	1253	1268
497	1254	1264
498	1259	1264
499	1262	1262
500	1263	1258
501	1264	1254
502	1266	1251
503	1267	1247
504	1268	1243
505	1272	1242
506	1273	1238
507	1274	1234
508	1276	1231
509	1277	1227
510	1279	1224
511	1280	1220
512	1281	1216
513	1282	1212
514	1284	1209
515	1287	1207
516	1288	1204
517	1290	1200
518	1291	1196
519	1292	1193
520	1293	1189
521	1294	1185
522	1305	1190
523	1306	1186
524	1307	1183
525	1309	1179
526	1310	1176
527	1311	1172
528	1320	1175
529	1321	1172
530	1323	1168
531	1324	1164
532	1325	1161
533	1327	1158
534	1343	1167
535	1351	1169
536	1353	1166
537	1354	1162
538	1355	1159
539	1356	1155
540	1358	1152
541	1361	1150
542	1367	1150
543	1368	1147
544	1369	1143
545	1371	1140
546	1372	1136
547	1373	1133
548	1383	1136
549	1385	1133
550	1386	1129
551	1387	1126
552	1389	1122
553	1390	1119
554	1400	1122
555	1401	1118
556	1402	1115
557	1403	1111
558	1404	1108
559	1407	1105
560	1410	1103
561	1412	1100
562	1413	1097
563	1414	1093
564	1416	1090
565	1418	1087
566	1419	1084
567	1420	1080
568	1423	1078
569	1425	1075
570	1426	1071
571	1428	1069
572	1431	1066
573	1436	1066
574	1439	1063
575	1442	1061
576	1444	1059
577	1446	1056
578	1457	1059
579	1458	1056
580	1460	1053
581	1461	1049
582	1467	1049
583	1473	1049
584	1476	1047
585	1507	1064
586	1509	1062
587	1523	1067
588	1525	1064
589	1526	1060
590	1528	1057
591	1533	1057
592	1536	1054
593	1537	1051
594	1539	1047
595	1541	1044
596	1543	1041
597	1547	1039
598	1549	1037
599	1550	1033
600	1552	1030
601	1564	1034
602	1565	1030
603	1567	1027
604	1568	1023
605	1569	1020
606	1583	1025
607	1585	1022
608	1586	1018
609	1597	1021
610	1601	1019
611	1603	1016
612	1612	1018
613	1618	1017
614	1620	1014
615	1621	1010
616	1623	1007
617	1624	1004
618	1627	1001
619	1635	1002
620	1636	998
621	1637	995
622	1639	991
623	1640	988
624	1641	984
625	1643	981
626	1646	979
627	1649	977
628	1651	974
629	1652	970
630	1654	967
631	1655	963
632	1656	960
633	1666	962
634	1667	958
635	1668	955
636	1670	951
637	1681	953
638	1682	950
639	1685	948
640	1686	944
641	1688	941
642	1699	943
643	1701	940
644	1703	937
645	1704	934
646	1714	935
647	1720	934
648	1737	939
649	1741	937
650	1743	934
651	1752	935
652	1755	932
653	1756	929
654	1757	925
655	1759	922
656	1769	923
657	1770	920
658	1772	917
659	1773	913
660	1774	910
661	1782	910
662	1783	906
663	1786	903
664	1787	900
665	1788	896
666	1789	893
667	1801	895
668	1805	893
669	1806	889
670	1816	890
671	1818	887
672	1819	884
673	1820	880
674	1821	877
675	1834	879
676	1836	876
677	1838	873
678	1845	872
679	1846	869
680	1848	865
681	1849	862
682	1850	858
683	1852	855
684	1853	852
685	1861	852
686	1862	848
687	1864	845
688	1865	842
689	1866	838
690	1868	835
691	1882	837
692	1883	834
693	1885	831
694	1893	831
695	1895	827
696	1897	824
697	1899	821
698	1900	818
699	1914	820
700	1916	817
701	1917	814
702	1919	811
703	1921	807
704	1922	804
705	1924	801
706	1932	800
707	1933	797
708	1934	794
709	1936	790
710	1937	787
711	1938	784
712	1939	780
713	1943	778
714	1944	775
715	1945	771
716	1946	768
717	1947	764
718	1948	761
719	1949	758
720	1950	754
721	1951	751
722	1952	748
723	1953	744
724	1955	741
725	1962	740
726	1963	737
727	1964	734
728	1965	730
729	1966	727
730	1967	724
731	1968	720
732	1969	717
733	1980	717
734	1981	714
735	1982	711
736	1983	707
737	1984	704
738	1985	701
739	1993	700
740	1995	697
741	1997	694
742	1998	691
743	1999	688
744	2000	684
745	2012	685
746	2014	682
747	2015	678
748	2017	676
749	2027	675
750	2029	672
751	2031	670
752	2034	667
753	2042	666
754	2044	663
755	2045	660
756	2046	656
757	2061	658
758	2064	655
759	2074	654
760	2076	652
761	2079	649
762	2093	650
763	2095	647
764	2108	647
765	2110	644
766	2114	642
767	2119	640
768	2120	636
769	2121	633
770	2123	630
771	2124	627
772	2125	624
773	2128	621
774	2129	618
775	2130	615
776	2131	611
777	2145	612
778	2147	609
779	2149	606
780	2195	615
781	2208	615
782	2211	612
783	2213	609
784	2214	606
785	2216	603
786	2220	600
787	2222	597
788	2223	594
789	2225	591
790	2226	588
791	2227	585
792	2229	581
793	2231	578
794	2234	576
795	2235	572
796	2236	569
797	2238	566
798	2239	563
799	2240	560
800	2242	557
801	2243	553
802	2244	550
803	2249	548
804	2252	545
805	2253	542
806	2254	539
807	2256	536
808	2257	533
809	2258	529
810	2276	530
811	2286	529
812	2288	526
813	2290	523
814	2291	520
815	2293	517
816	2299	515
817	2300	511
818	2302	508
819	2303	505
820	2305	502
821	2306	499
822	2316	498
823	2317	495
824	2319	491
825	2320	488
826	2321	485
827	2322	482
828	2332	481
829	2333	478
830	2336	475
831	2338	472
832	2339	469
833	2340	465
834	2342	462
835	2347	460
836	2351	457
837	2352	454
838	2353	451
839	2355	448
840	2356	445
841	2357	442
842	2364	440
843	2366	437
844	2368	434
845	2369	431
846	2370	428
847	2371	425
848	2373	422
849	2377	419
850	2381	416
851	2382	413
852	2384	410
853	2385	407
854	2386	404
855	2388	401
856	2390	398
